hotel_name,country_code,city_name,star_rating,latitude,longitude,partner_hotel_name,partner_country_code,partner_city_name,partner_star_rating,partner_latitude,partner_longitude
Asterisk Hotel 3 stars,NL,Amsterdam,3,52.358833,4.8938675,Asterisk Hotel 3 Stars,NL,Amsterdam,3,52.3588347328,4.8938673735
NH Amsterdam Noord Hotel,NL,Amsterdam,4,52.392228,4.910916,NH Amsterdam Noord,NL,Amsterdam,4,52.3921931675,4.9108967185
Aadam Wilhelmina Hotel,NL,Amsterdam,2,52.3527984619,4.8619060516,Aadam Hotel Wilhelmina,NL,Amsterdam,2,52.3527546429,4.8617465794
Mercure Hotel Eindhoven,NL,Eindhoven,4,51.42598651,5.489368737,Best Western Eindhoven,NL,Eindhoven,4,51.425986506,5.4893687367
Crowne Plaza Den Haag Promenade Hotel,NL,The Hague,4,52.09702283,4.287466578,Crowne Plaza Den Haag Promenade,NL,The Hague,5,52.096863558,4.2872053385
Ink Hotel Amsterdam - Mgallery Collection,NL,Amsterdam,4,52.3754305198,4.8927998543,INK Hotel Amsterdam by MGallery,NL,Amsterdam,4,52.3755639716,4.8928977549
Hotel Voncken,NL,Valkenburg,4,50.862537,5.8330054,Hampshire Hotel â€“ Voncken Valkenburg,NL,Valkenburg,4,50.8625377788,5.8330053091
Campanile Hotel And Restaurant Eindhoven,NL,Eindhoven,3,51.4333874233,5.4206525367,Campanile Hotel & Restaurant Eindhoven,NL,Eindhoven,3,51.433447419,5.420524478
Boutique Hotel Corona - Hampshire Classic,NL,The Hague,4,52.07905,4.310122,Boutique Hotel Corona,NL,The Hague,4,52.0790493951,4.3101221323
Hotel-Restaurant Nieuwegein-Utrecht,NL,Utrecht,4,52.0265002,5.0684853,Fletcher Hotel-Restaurant Nieuwegein-Utrecht,NL,Nieuwegein,4,52.0264026186,5.0686186552
Hotel Vondel,NL,Amsterdam,4,52.362685464,4.8780511196,Hotel Vondel Amsterdam,NL,Amsterdam,4,52.3625709971,4.8781127483
Hotel Het Wapen van Delden,NL,Delden,3,52.25911,6.681731,Hotel Wapen van Delden,NL,Delden,3,52.2591089296,6.6817313433
Hotel de Looier,NL,Amsterdam,3,52.3685772683,4.8794746399,Hotel De Looier,NL,Amsterdam,3,52.368276749,4.8796523362
Hotel Estherea,NL,Amsterdam,4,52.37050808,4.888559282,Hotel EstherÃ©a,NL,Amsterdam,4,52.3704728678,4.8884908855
