<<<<<<< HEAD
partner1,partner2
0,4822
1,8020
2,136
3,270
=======
hotelid_from,hoteli_to
480,7526
481,592
540,2135
580,4157
609,20
619,1843
622,8659
734,3623
734,9416
812,5144
3017,1625
1940,9963
3391,5046
3686,8205
1942,7123
3726,5233
1944,1684
3819,970
1944,2749
1944,9851
4106,5678
4260,4405
1945,9977
4260,8161
4282,701
1946,7061
1947,6545
1947,8427
7070,1486
1948,6361
1949,2699
1949,6358
7071,4231
1949,7902
7072,2436
1951,1522
1951,1965
1951,6738
1951,8352
1951,9995
7073,6386
7073,7638
1952,6037
1953,997
7074,8161
7075,746
7075,3562
7075,5843
1954,5168
7075,8989
7075,9406
7076,746
7076,3562
7076,4533
7076,5843
1955,7164
7076,8989
7076,9406
7077,746
1955,9581
7077,3562
1956,4932
1986,1578
7077,4533
7077,5843
7077,8989
7077,9406
7078,746
7078,3562
7078,5843
7078,8989
7078,9406
1998,6668
2039,695
7079,4533
7079,5843
7079,8989
7079,9406
7080,5019
2039,9780
2040,1639
7081,7003
7082,746
7082,3562
7082,4533
7082,5843
7082,8989
7082,9406
7083,7401
2050,3273
7084,1407
2051,3103
2052,1247
7085,4021
2055,1393
2055,4478
2055,6759
2055,8695
2055,8915
2055,8924
7086,8798
7087,208
2056,7683
2058,1159
2058,2337
2058,3299
2058,7471
7088,9588
2059,5343
7089,3181
7089,3516
2061,4007
2061,4478
7090,9818
2061,8915
7091,9362
2062,2767
2062,5900
2063,1522
7092,1229
2063,3454
7092,9605
2063,9886
7093,9605
2064,6706
7094,2081
2065,8390
7095,7433
2066,3226
7096,8409
7097,2951
7097,3623
7097,6630
7097,7641
2067,8151
7097,9892
7098,2164
7098,4976
2069,3237
7098,8367
2071,5042
7099,9734
2072,1997
7100,7856
2072,5146
7101,154
2072,7502
2072,8323
2073,1159
2073,6558
2073,8455
2074,1842
2074,3454
2074,4827
2074,5961
7102,5918
7103,3911
2075,3971
2075,8118
2076,7013
7104,9007
2077,899
7105,3181
7105,3400
2077,3559
2077,7743
2078,2867
2078,8273
2079,928
2079,1600
7106,4746
7107,806
2079,6578
2080,9907
2081,2061
7109,5219
7110,3369
2082,6817
7111,3219
7112,8466
7113,2164
2084,2767
7113,4976
7113,8367
7114,2164
2084,7113
7114,4976
7114,8367
2085,4007
2085,4276
2085,4478
2085,8915
2088,377
2088,3484
2088,3897
2088,6759
2088,8924
7115,1604
7115,2951
7115,3623
7115,6630
7115,7641
7116,3516
2089,6746
7117,2157
2090,378
2090,6558
2090,8455
2091,4171
2092,88
7118,6268
7119,7692
2093,378
2093,462
2093,4778
2093,6558
2093,6571
2093,8455
2093,8816
2094,2699
2094,6358
2094,7902
7120,2835
7121,9446
2095,7162
7122,8236
7123,1049
2096,1997
2096,4214
2096,8323
2097,4491
2152,1522
2152,2412
2152,3454
7124,3718
2153,3897
7125,9892
7126,6386
7126,7638
2153,9199
2153,9670
2153,9907
7127,5859
7128,7201
2154,7778
2156,899
2156,3559
2156,7743
2157,899
2157,3559
7129,9161
7130,358
2157,7743
7130,8732
7131,479
2158,1277
7131,2880
2158,1743
7132,2852
2189,347
2198,5288
7133,3563
2198,6344
7134,6995
7135,2993
2201,2699
7136,7206
2201,6358
2201,7902
2206,7347
2211,3035
2211,3829
7137,6038
7138,755
7139,5886
2256,8415
7140,4669
2257,4684
7141,8157
7142,2321
2275,198
2275,6759
2280,429
2280,4285
2280,6941
2280,7402
2280,8397
2280,8687
2281,2749
7143,9018
7144,741
7145,9999
7146,2951
7146,3623
7146,6630
7146,7641
7147,4623
2281,6571
2282,1277
2282,4007
2282,6096
2282,9199
2282,9670
2283,1277
2283,1743
7148,3238
7149,3483
7149,7676
2283,3484
2283,4007
2283,6096
2283,9053
2283,9199
2283,9670
2287,5811
7150,3483
7150,7676
7151,2839
7152,1947
7153,3760
7153,7717
7154,4
7155,2350
7156,1674
2292,5968
2294,1842
2295,1965
7157,7138
2295,6738
2295,8352
2296,1471
7158,4869
7159,259
7159,3307
2297,1522
7160,3508
2297,3454
2297,4827
2297,6738
7161,4601
2297,9886
2297,9995
7162,6408
2298,3833
7163,8822
7167,3247
2299,4007
2299,4276
7168,2952
7168,4790
2299,8915
2300,5318
2301,1179
7173,2880
7185,1777
7190,5528
2304,8618
7191,3070
2311,277
7192,92
7207,2135
7207,3805
7219,5702
7221,358
2320,378
2320,462
7221,8732
2320,4778
7231,5460
2320,6558
2320,6571
2320,8782
2320,8816
7238,5880
7246,5283
2326,5203
7265,9922
2328,1934
7271,6167
7275,3319
2329,378
2329,462
7318,3623
2329,4778
7318,7641
7318,9416
7319,1061
2329,6558
2329,6571
2329,8816
2332,1842
7339,3900
7347,5645
2334,1149
2334,2171
7354,4925
2334,4778
2334,9019
7368,6120
2336,1149
7369,8319
7373,8210
7375,8391
2337,6378
2337,6845
2337,9112
7384,8908
2341,6631
7393,7275
2343,2188
7451,4800
7460,6182
7461,5019
2346,9035
7461,9554
7472,2238
2347,3549
2347,3793
7482,825
2347,6886
7483,149
7484,3562
7484,8699
2348,3549
2348,3793
2348,6886
7486,9877
7627,2073
7627,6268
2353,2088
7653,592
7653,9041
2353,7502
2353,7766
